species,X,Y,geometry
Haliaeetus leucocephalus,1740442.7219645104,571619.354427779,"c(1740442.72196451, 571619.354427779)"
Haliaeetus leucocephalus,1205994.5738915724,457616.911684881,"c(1205994.57389157, 457616.911684881)"
Haliaeetus leucocephalus,1275443.2052438061,845540.3133633978,"c(1275443.20524381, 845540.313363398)"
Haliaeetus leucocephalus,1484891.7134199166,584275.5568095307,"c(1484891.71341992, 584275.556809531)"
Haliaeetus leucocephalus,1148115.948334216,463950.18148647045,"c(1148115.94833422, 463950.18148647)"
Haliaeetus leucocephalus,1213819.1783158726,469625.48589728895,"c(1213819.17831587, 469625.485897289)"
Haliaeetus leucocephalus,1359083.196061266,1107537.6052063203,"c(1359083.19606127, 1107537.60520632)"
Haliaeetus leucocephalus,1204475.1948891478,476728.04085504514,"c(1204475.19488915, 476728.040855045)"
Haliaeetus leucocephalus,1472200.4754243293,474015.6450366978,"c(1472200.47542433, 474015.645036698)"
Haliaeetus leucocephalus,1274767.707726499,453172.2557812842,"c(1274767.7077265, 453172.255781284)"
Haliaeetus leucocephalus,1705029.5949868644,659035.018760501,"c(1705029.59498686, 659035.018760501)"
Haliaeetus leucocephalus,1216846.1062682786,456162.7058049591,"c(1216846.10626828, 456162.705804959)"
Haliaeetus leucocephalus,1243029.4902347876,476902.54875716503,"c(1243029.49023479, 476902.548757165)"
Haliaeetus leucocephalus,1079618.2333537696,510815.04087720544,"c(1079618.23335377, 510815.040877205)"
Haliaeetus leucocephalus,1474157.6260877748,604930.2602096762,"c(1474157.62608777, 604930.260209676)"
Haliaeetus leucocephalus,1299523.8090087438,467675.9390720029,"c(1299523.80900874, 467675.939072003)"
Haliaeetus leucocephalus,1069466.8215573672,512549.8143970918,"c(1069466.82155737, 512549.814397092)"
Haliaeetus leucocephalus,1464551.7856552114,515579.3088081632,"c(1464551.78565521, 515579.308808163)"
Haliaeetus leucocephalus,1328520.4958621324,546583.7752745651,"c(1328520.49586213, 546583.775274565)"
Haliaeetus leucocephalus,1472227.9811817235,571297.0248092486,"c(1472227.98118172, 571297.024809249)"
Haliaeetus leucocephalus,1225099.388579107,476855.2513172707,"c(1225099.38857911, 476855.251317271)"
Haliaeetus leucocephalus,1215628.5016967962,449835.2359399512,"c(1215628.5016968, 449835.235939951)"
Haliaeetus leucocephalus,1199660.2530137794,476609.6032857863,"c(1199660.25301378, 476609.603285786)"
Haliaeetus leucocephalus,1385604.245381468,652485.0765449163,"c(1385604.24538147, 652485.076544916)"
Haliaeetus leucocephalus,727478.3082516164,1035277.0462201413,"c(727478.308251616, 1035277.04622014)"
Haliaeetus leucocephalus,1242687.9609842312,782353.5981083633,"c(1242687.96098423, 782353.598108363)"
Haliaeetus leucocephalus,1314712.626891043,480270.0151180896,"c(1314712.62689104, 480270.01511809)"
Haliaeetus leucocephalus,1182364.8872071595,374939.0628109273,"c(1182364.88720716, 374939.062810927)"
Haliaeetus leucocephalus,1406845.1925791022,629064.7743392512,"c(1406845.1925791, 629064.774339251)"
Haliaeetus leucocephalus,1072587.162918832,520065.8308436738,"c(1072587.16291883, 520065.830843674)"
Haliaeetus leucocephalus,1470339.7007206357,497237.3111227502,"c(1470339.70072064, 497237.31112275)"
Haliaeetus leucocephalus,1468468.974529122,557558.5861490135,"c(1468468.97452912, 557558.586149013)"
Haliaeetus leucocephalus,1472929.1212093662,582998.6533718685,"c(1472929.12120937, 582998.653371869)"
Haliaeetus leucocephalus,1104460.7470756634,542765.7040847598,"c(1104460.74707566, 542765.70408476)"
Haliaeetus leucocephalus,1168571.0961485144,406676.7383832664,"c(1168571.09614851, 406676.738383266)"
Haliaeetus leucocephalus,1738337.5798337772,553788.8992121037,"c(1738337.57983378, 553788.899212104)"
Haliaeetus leucocephalus,1186929.2331899824,404889.95658920007,"c(1186929.23318998, 404889.9565892)"
Haliaeetus leucocephalus,1209078.1949595797,528891.1546522058,"c(1209078.19495958, 528891.154652206)"
Haliaeetus leucocephalus,1127474.9504079053,477968.5803435055,"c(1127474.95040791, 477968.580343505)"
Haliaeetus leucocephalus,1142722.3150592465,516379.50166190736,"c(1142722.31505925, 516379.501661907)"
Haliaeetus leucocephalus,1166342.3601524946,375162.2643589769,"c(1166342.36015249, 375162.264358977)"
Haliaeetus leucocephalus,1153899.869679312,459779.04573417135,"c(1153899.86967931, 459779.045734171)"
Haliaeetus leucocephalus,1470896.8443993751,497018.814902611,"c(1470896.84439938, 497018.814902611)"
Haliaeetus leucocephalus,1199439.0893224203,381786.8046131541,"c(1199439.08932242, 381786.804613154)"
Haliaeetus leucocephalus,663310.2954899541,1677867.9712439077,"c(663310.295489954, 1677867.97124391)"
Haliaeetus leucocephalus,1192316.479796776,391322.6082961084,"c(1192316.47979678, 391322.608296108)"
Haliaeetus leucocephalus,1182516.18312686,383917.4069381639,"c(1182516.18312686, 383917.406938164)"
Haliaeetus leucocephalus,1469362.0450397562,558309.5654782483,"c(1469362.04503976, 558309.565478248)"
Haliaeetus leucocephalus,1351646.93446719,739958.1764093494,"c(1351646.93446719, 739958.176409349)"
Haliaeetus leucocephalus,1135654.8163077342,518074.9792218131,"c(1135654.81630773, 518074.979221813)"
Haliaeetus leucocephalus,369768.57013190317,1679662.9993686,"c(369768.570131903, 1679662.9993686)"
Haliaeetus leucocephalus,1290182.8824684834,778269.5744781592,"c(1290182.88246848, 778269.574478159)"
Haliaeetus leucocephalus,1719532.0903674,632829.0034196193,"c(1719532.0903674, 632829.003419619)"
Haliaeetus leucocephalus,1700471.2582308752,670945.3529256991,"c(1700471.25823088, 670945.352925699)"
Haliaeetus leucocephalus,1294242.052461638,477797.2953120209,"c(1294242.05246164, 477797.295312021)"
Haliaeetus leucocephalus,1706411.1441800506,656963.5067374404,"c(1706411.14418005, 656963.50673744)"
Haliaeetus leucocephalus,1156803.5447840423,451912.60236388224,"c(1156803.54478404, 451912.602363882)"
Haliaeetus leucocephalus,1294895.4392574548,464856.31558149,"c(1294895.43925745, 464856.31558149)"
Haliaeetus leucocephalus,1492098.5465266523,671538.1522209414,"c(1492098.54652665, 671538.152220941)"
Haliaeetus leucocephalus,1226784.9902894315,457898.693084286,"c(1226784.99028943, 457898.693084286)"
Haliaeetus leucocephalus,1327207.4893620661,601205.4042978099,"c(1327207.48936207, 601205.40429781)"
Haliaeetus leucocephalus,1222200.784317225,471770.5117148273,"c(1222200.78431722, 471770.511714827)"
Haliaeetus leucocephalus,1245515.5921227827,471267.9149566972,"c(1245515.59212278, 471267.914956697)"
Haliaeetus leucocephalus,1205390.4430040412,459875.71599040786,"c(1205390.44300404, 459875.715990408)"
Haliaeetus leucocephalus,895222.5157898685,1141621.7670828276,"c(895222.515789869, 1141621.76708283)"
Haliaeetus leucocephalus,1366753.872881319,517447.9968862997,"c(1366753.87288132, 517447.9968863)"
Haliaeetus leucocephalus,1420393.4221096588,645092.1106625095,"c(1420393.42210966, 645092.11066251)"
Haliaeetus leucocephalus,935328.9558809486,616470.738009132,"c(935328.955880949, 616470.738009132)"
Haliaeetus leucocephalus,1033343.9214974155,436479.5272461405,"c(1033343.92149742, 436479.52724614)"
Haliaeetus leucocephalus,1272258.2465499449,534793.5227463935,"c(1272258.24654994, 534793.522746393)"
Haliaeetus leucocephalus,1175373.1748355655,399690.84261854977,"c(1175373.17483557, 399690.84261855)"
Haliaeetus leucocephalus,1382010.6538188125,567205.7165304945,"c(1382010.65381881, 567205.716530495)"
Haliaeetus leucocephalus,1294816.202069432,482199.39418129355,"c(1294816.20206943, 482199.394181294)"
Haliaeetus leucocephalus,1222184.3457625348,474620.77954009356,"c(1222184.34576253, 474620.779540094)"
Haliaeetus leucocephalus,1172654.21083971,418126.77047074103,"c(1172654.21083971, 418126.770470741)"
Haliaeetus leucocephalus,1208222.7960661638,477969.3795210149,"c(1208222.79606616, 477969.379521015)"
Haliaeetus leucocephalus,1354439.490576857,575737.9828665317,"c(1354439.49057686, 575737.982866532)"
Haliaeetus leucocephalus,1210138.3548146207,455724.6860253598,"c(1210138.35481462, 455724.68602536)"
